id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103760,Central Centre 5 min walk to/from Central MTR,304876,Brendan,,Central & Western,22.28418,114.15431,Entire home/apt,1310,12,316,2024-02-13,1.82,1,348,0,
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,800,5,229,2025-08-31,1.35,1,23,19,
263081,"3 睡房, 2500 平方呎 有工人 Family Friendly! 在中環半山 有車",1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,20868,10,0,,,1,362,0,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,991,30,19,2015-08-14,0.11,1,365,0,
378047,LUXURY HONG KONG COUNTRY COW SHED,1805628,Elissa Claire,,Islands,22.26674,113.99269,Entire home/apt,,2,82,2025-08-14,0.51,1,0,1,
494271,Private room in a beachside cottage for ladies,1209984,Daisy,,Islands,22.27184274100326,114.00395029676517,Private room,360,2,2,2025-07-06,0.64,1,89,2,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,1052,1,313,2025-09-11,1.94,1,277,21,
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.28113,114.18416,Entire home/apt,648,30,10,2025-08-03,0.12,10,255,5,
562775,Mixed Dorm Bed#2@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,186,1,210,2025-09-21,1.74,25,365,2,
562822,Studio w/ private kit. & bath. (B),2767759,Alfred,,Wan Chai,22.27917,114.18577,Entire home/apt,410,90,11,2013-03-02,0.07,10,232,0,
562840,Mixed Dorm Bed#B@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.2782412,114.1769881,Shared room,186,1,29,2023-03-02,0.18,25,365,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,2115,1,15,2024-02-17,0.12,3,11,0,
602959,Nice decor studio w/large terrace,1560343,Trudy,,Central & Western,22.2856,114.1428,Entire home/apt,664,2,2,2018-05-19,0.01,1,133,0,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.2554,113.86194,Hotel room,1376,1,46,2023-07-02,0.33,3,84,0,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25575,113.86351,Hotel room,967,1,30,2024-11-11,0.21,3,72,1,
603232,Discovery Bay -  Well  located 2 Bedroom apartment,2986287,Tish,,Islands,22.29313,114.01591,Entire home/apt,,4,40,2025-08-14,0.28,1,0,1,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,215,28,16,2025-07-01,0.10,6,168,3,
741936,Family Room For 3 to 4,3784841,Albert,,Yau Tsim Mong,22.31805,114.17074,Private room,250,28,4,2015-01-05,0.03,6,274,0,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,205,28,21,2022-04-29,0.14,6,145,0,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,172,28,45,2022-03-31,0.29,6,311,0,
764696,Single bed room with green view,4031260,Jen Ai,,North,22.50294,114.13365,Private room,,200,40,2024-12-20,0.26,1,71,1,
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23025,114.21702,Entire home/apt,,90,5,2017-04-16,0.03,1,0,0,
788273,Come to live in Cheung Chau Island,4128982,Françoise,,Islands,22.21433,114.02804,Entire home/apt,1494,3,7,2023-05-02,0.05,2,311,0,
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.27993,114.15088,Entire home/apt,1000,7,53,2025-08-31,0.35,1,291,5,
825791,FANTASTIC LOCATION NEAR HK FAMOUS PIER VIEW,3820308,David,,Yau Tsim Mong,22.30209,114.17608,Entire home/apt,,28,110,2025-08-25,0.71,26,10,10,
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.27742,114.18156,Entire home/apt,800,1,120,2025-08-23,0.83,1,60,11,
860891,Two Bedroom Apartment W. MID-LEVELS  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28483,114.14237,Entire home/apt,,90,1,2022-12-11,0.03,3,89,0,
860892,Two Bedrooms Apartmt @ W. Mid-Level  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28294,114.14081,Entire home/apt,,90,1,2017-12-01,0.01,3,83,0,
861654,City Center Apartment Near 3 MTR,3820308,David,,Yau Tsim Mong,22.307896,114.166949,Entire home/apt,504,1,45,2025-06-04,0.29,26,311,4,
869969,Studio available in Prince Edward,4584648,Ivy,,Kowloon City,22.32514,114.17712,Private room,217,30,2,2015-06-22,0.01,353,363,0,
870046,10 mins to CITY U --------- by MTR,4584648,Ivy,,Yau Tsim Mong,22.31318,114.16845,Entire home/apt,180,30,1,2014-05-29,0.01,353,276,0,
894221,Best room for you near MTR,4584648,Ivy,,Yau Tsim Mong,22.31453,114.16863,Private room,180,30,0,,,353,364,0,
894224,Tsimshatsui Room in Flat Share,4584648,Ivy,,Yau Tsim Mong,22.31006,114.17138,Private room,140,31,0,,,353,363,0,
903169,Nice room available in Yau ma tei(y8b),4584648,Ivy,,Yau Tsim Mong,22.31188,114.17065,Private room,180,29,2,2018-09-30,0.01,353,364,0,
926138,Lovely home Mong Kok MTR Railway 3 beds,4971086,Alice,,Yau Tsim Mong,22.32257,114.17058,Entire home/apt,971,3,493,2025-09-08,3.22,7,270,44,
944283,Private 2 Bedrooms flat in Heart of Central-SOHO,5100812,Nana,,Central & Western,22.28457,114.15375,Entire home/apt,860,4,113,2025-09-10,0.74,2,199,21,
956857,One bedroom - Heart of Soho/Central,5100812,Nana,,Central & Western,22.28324,114.15418,Private room,501,6,9,2025-03-08,0.06,2,9,3,
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28526,114.14737,Entire home/apt,721,2,49,2025-05-04,0.32,1,328,6,
970030,2- rooms apartment for 7 travellers,3784841,Albert,,Yau Tsim Mong,22.31721,114.1685,Private room,852,28,1,2016-02-14,0.01,6,364,0,
992390,Bright quiet studio in Hong Kong Central district,5181284,Peter,,Central & Western,22.28272,114.15307,Entire home/apt,646,5,184,2025-05-07,1.21,2,72,14,
1016855,FURNISHED Sheung Wan FLATSHARE,4584648,Ivy,,Central & Western,22.28665,114.15054,Private room,,30,2,2016-07-03,0.02,353,365,0,
1019390,A room in hip creative Sheung Wan,2014297,Cheryl,,Central & Western,22.28589,114.15149,Private room,600,1,66,2019-05-05,0.44,1,364,0,
1033352,Room in Wan Chai,4584648,Ivy,,Wan Chai,22.27904,114.18033,Private room,180,30,1,2014-01-04,0.01,353,364,0,
1033353,Sai Ying Poon Room in flatshare,4584648,Ivy,,Wan Chai,22.27761,114.17335,Private room,180,31,1,2015-08-03,0.01,353,364,0,
1036146,Seaview  Apt in Discovery Bay,2376514,Sun-Ok,,Islands,22.29549,114.02187,Entire home/apt,1858,30,0,,,3,364,0,
1046393,Wanchai - Room available,4584648,Ivy,,Wan Chai,22.27841,114.17121,Private room,180,30,0,,,353,364,0,
1060831,Duplex Town house at Beach village with Terrace,2376514,Sun-Ok,,Islands,22.29288,114.01123,Entire home/apt,3791,30,4,2015-01-03,0.03,3,364,0,
1072782,Nice and Big room in Fortress Hill,4584648,Ivy,,Eastern,22.28905,114.19639,Private room,206,30,0,,,353,364,0,
1145659,CWB Room,4584648,Ivy,,Wan Chai,22.27655,114.18077,Private room,180,29,0,,,353,363,0,
1149104,++Welcome for short term rent ++,4584648,Ivy,,Yau Tsim Mong,22.29925,114.17537,Private room,180,60,0,,,353,364,0,
1165573,Mid-level 1br/1ba by escalator,4258815,Faye,,Central & Western,22.28122,114.15135,Entire home/apt,703,3,204,2025-08-27,1.36,1,181,27,
1171633,Near MTR Welcome for short/longterm,4584648,Ivy,,Central & Western,22.28528,114.15186,Private room,,31,2,2015-08-16,0.02,353,365,0,
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31585,114.16888,Private room,310,2,127,2025-08-17,0.94,12,87,7,
1187498,Nice room in Sheung Wan,4584648,Ivy,,Central & Western,22.28564,114.14785,Private room,,30,2,2013-09-14,0.01,353,365,0,
1187557,The cheaper room! Near with HKU!!!!,4584648,Ivy,,Central & Western,22.2845,114.12888,Private room,180,30,0,,,353,363,0,
1187738,Furnished Studio in western HK,4584648,Ivy,,Sham Shui Po,22.33247,114.16271,Private room,217,30,0,,,353,364,0,
1187739,Bright room Welcome for short term!,4584648,Ivy,,Sham Shui Po,22.3323,114.16243,Private room,180,30,0,,,353,364,0,
1187770,ROOFTOP room ( SUPER close to MTR),4584648,Ivy,,Yau Tsim Mong,22.31447,114.17082,Private room,160,29,0,,,353,363,0,
1226450,Flat share in Sheung Wan,4584648,Ivy,,Central & Western,22.28796,114.14945,Private room,,31,1,2016-02-28,0.01,353,364,0,
1229848,Cool Stanley Surf Flat rftop May-Sept  Great spot!,6708889,Marcos,,Southern,22.21892,114.21369,Entire home/apt,600,7,35,2025-07-21,0.25,1,50,3,
1234994,Cozy studio Unit E Causeway Bay,2767759,Alfred,,Wan Chai,22.27886,114.18619,Entire home/apt,419,60,2,2025-08-04,0.25,10,102,2,
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31214,114.17227,Private room,620,30,0,,,353,364,0,
1623311,Spacious homey 1BR in Central SoHo Area,8632157,Sara,,Central & Western,22.28115,114.15348,Entire home/apt,,7,6,2015-12-28,0.04,1,0,0,
1642196,Taikoo Shing Luxury High-Floor Apt,1190017,Paul,,Eastern,22.28934,114.21915,Entire home/apt,5000,30,0,,,5,357,0,
1704664,Modern 2BR/2Bath Seaview apt with balcony/1min MTR,3741579,Ning,,Yau Tsim Mong,22.31343,114.1703319,Entire home/apt,1593,3,23,2025-08-30,1.35,1,306,20,
